gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-101-3p,0.723937917970205,0.711479926562823,0.818390401116133,0.869364945620692,0.384647550218744,0.999518452987832
hsa-miR-101-5p,0,NA,NA,NA,NA,NA
hsa-miR-103a-2-5p,0,NA,NA,NA,NA,NA
hsa-miR-103a-3p,0.185042966650806,-0.17379292458288,2.91817170243257,-0.0595554142472174,0.952509729574685,0.999518452987832
hsa-miR-103b,0,NA,NA,NA,NA,NA
hsa-miR-105-3p,0,NA,NA,NA,NA,NA
hsa-miR-105-5p,0,NA,NA,NA,NA,NA
hsa-miR-106a-3p,0,NA,NA,NA,NA,NA
hsa-miR-106a-5p,0.0185785921483706,-0.361856204541664,2.92214881792583,-0.123832230008913,0.901448112352051,0.999518452987832
hsa-miR-106b-3p,0.0123546970893232,-0.193514221203993,2.92202508956257,-0.0662260642097918,0.947197846082814,0.999518452987832
hsa-miR-106b-5p,0,NA,NA,NA,NA,NA
hsa-miR-107,0.00347454745385633,-0.343961636308632,2.92229683817135,-0.117702497506677,0.906303387814692,0.999518452987832
hsa-miR-10a-3p,0,NA,NA,NA,NA,NA
hsa-miR-10a-5p,0.0800498536434464,0.0297127959115699,2.92127645087013,0.0101711688062661,0.991884721368949,0.999518452987832
hsa-miR-10b-3p,0,NA,NA,NA,NA,NA
hsa-miR-10b-5p,0.0297193697615995,-0.0067497514268218,2.92135145756539,-0.00231048934880535,0.998156497860902,0.999518452987832
hsa-miR-1178-3p,0,NA,NA,NA,NA,NA
hsa-miR-1178-5p,0,NA,NA,NA,NA,NA
hsa-miR-1179,0,NA,NA,NA,NA,NA
hsa-miR-1180-3p,0.00134932703996243,-0.35253288642777,2.92212760129414,-0.120642536715933,0.903974175459054,0.999518452987832
hsa-miR-1180-5p,0,NA,NA,NA,NA,NA
hsa-miR-1181,0,NA,NA,NA,NA,NA
hsa-miR-1182,0,NA,NA,NA,NA,NA
hsa-miR-1183,0,NA,NA,NA,NA,NA
hsa-miR-1184,0,NA,NA,NA,NA,NA
hsa-miR-1185-1-3p,0,NA,NA,NA,NA,NA
hsa-miR-1185-2-3p,0,NA,NA,NA,NA,NA
hsa-miR-1185-5p,0,NA,NA,NA,NA,NA
hsa-miR-1193,0,NA,NA,NA,NA,NA
hsa-miR-1197,0,NA,NA,NA,NA,NA
hsa-miR-1199-3p,0,NA,NA,NA,NA,NA
hsa-miR-1199-5p,0,NA,NA,NA,NA,NA
hsa-miR-1200,0,NA,NA,NA,NA,NA
hsa-miR-1202,0,NA,NA,NA,NA,NA
hsa-miR-1203,0,NA,NA,NA,NA,NA
hsa-miR-1204,0,NA,NA,NA,NA,NA
hsa-miR-1205,0,NA,NA,NA,NA,NA
hsa-miR-1206,0,NA,NA,NA,NA,NA
hsa-miR-1207-3p,0,NA,NA,NA,NA,NA
hsa-miR-1207-5p,0,NA,NA,NA,NA,NA
hsa-miR-1208,0,NA,NA,NA,NA,NA
hsa-miR-122-3p,0,NA,NA,NA,NA,NA
hsa-miR-122-5p,12.7570036281179,0.410391942778677,0.340253113945464,1.20613721361696,0.227764588127631,0.999518452987832
hsa-miR-1224-3p,0,NA,NA,NA,NA,NA
hsa-miR-1224-5p,0,NA,NA,NA,NA,NA
hsa-miR-1225-3p,0,NA,NA,NA,NA,NA
hsa-miR-1225-5p,0,NA,NA,NA,NA,NA
hsa-miR-1226-3p,0,NA,NA,NA,NA,NA
hsa-miR-1226-5p,0,NA,NA,NA,NA,NA
hsa-miR-1227-3p,0,NA,NA,NA,NA,NA
hsa-miR-1227-5p,0,NA,NA,NA,NA,NA
hsa-miR-1228-3p,0,NA,NA,NA,NA,NA
hsa-miR-1228-5p,0,NA,NA,NA,NA,NA
hsa-miR-1229-3p,0,NA,NA,NA,NA,NA
hsa-miR-1229-5p,0,NA,NA,NA,NA,NA
hsa-miR-1231,0,NA,NA,NA,NA,NA
hsa-miR-1233-3p,0,NA,NA,NA,NA,NA
hsa-miR-1233-5p,0,NA,NA,NA,NA,NA
hsa-miR-1234-3p,0,NA,NA,NA,NA,NA
hsa-miR-1236-3p,0,NA,NA,NA,NA,NA
hsa-miR-1236-5p,0,NA,NA,NA,NA,NA
hsa-miR-1237-3p,0,NA,NA,NA,NA,NA
hsa-miR-1237-5p,0,NA,NA,NA,NA,NA
hsa-miR-1238-3p,0,NA,NA,NA,NA,NA
hsa-miR-1238-5p,0,NA,NA,NA,NA,NA
hsa-miR-124-3p,0,NA,NA,NA,NA,NA
hsa-miR-124-5p,0,NA,NA,NA,NA,NA
hsa-miR-1243,0,NA,NA,NA,NA,NA
hsa-miR-1244,0,NA,NA,NA,NA,NA
hsa-miR-1245a,0,NA,NA,NA,NA,NA
hsa-miR-1245b-3p,0,NA,NA,NA,NA,NA
hsa-miR-1245b-5p,0,NA,NA,NA,NA,NA
hsa-miR-1246,0.0747171594493602,-0.532630033825293,2.92207544793491,-0.182277988133987,0.855364572221292,0.999518452987832
hsa-miR-1247-3p,0,NA,NA,NA,NA,NA
hsa-miR-1247-5p,0,NA,NA,NA,NA,NA
hsa-miR-1248,0,NA,NA,NA,NA,NA
hsa-miR-1249,0,NA,NA,NA,NA,NA
hsa-miR-1250-3p,0,NA,NA,NA,NA,NA
hsa-miR-1250-5p,0,NA,NA,NA,NA,NA
hsa-miR-1251-3p,0,NA,NA,NA,NA,NA
hsa-miR-1251-5p,0,NA,NA,NA,NA,NA
hsa-miR-1252-3p,0,NA,NA,NA,NA,NA
hsa-miR-1252-5p,0,NA,NA,NA,NA,NA
hsa-miR-1253,0,NA,NA,NA,NA,NA
hsa-miR-1254,0,NA,NA,NA,NA,NA
hsa-miR-1255a,0,NA,NA,NA,NA,NA
hsa-miR-1255b-2-3p,0,NA,NA,NA,NA,NA
hsa-miR-1255b-5p,0,NA,NA,NA,NA,NA
hsa-miR-1256,0,NA,NA,NA,NA,NA
hsa-miR-1257,0,NA,NA,NA,NA,NA
hsa-miR-1258,0,NA,NA,NA,NA,NA
hsa-miR-125a-3p,0,NA,NA,NA,NA,NA
hsa-miR-125a-5p,0.164228756901574,0.240822992184753,2.91884832541654,0.0825061686445752,0.934244213192177,0.999518452987832
hsa-miR-125b-1-3p,0,NA,NA,NA,NA,NA
hsa-miR-125b-2-3p,0,NA,NA,NA,NA,NA
hsa-miR-125b-5p,0.0482811440307558,-0.00176254763896186,2.92039910516962,-0.000603529714771463,0.999518452987832,0.999518452987832
hsa-miR-126-3p,1.09466012288534,1.36416890004632,1.12709359244208,1.21034216607563,0.22614762399401,0.999518452987832
hsa-miR-126-5p,0.31656158280074,1.17644562281274,1.56816097578298,0.75020717960753,0.453129935378494,0.999518452987832
hsa-miR-1260a,0,NA,NA,NA,NA,NA
hsa-miR-1260b,0,NA,NA,NA,NA,NA
hsa-miR-1261,0,NA,NA,NA,NA,NA
hsa-miR-1262,0,NA,NA,NA,NA,NA
hsa-miR-1263,0,NA,NA,NA,NA,NA
hsa-miR-1264,0,NA,NA,NA,NA,NA
hsa-miR-1265,0,NA,NA,NA,NA,NA
hsa-miR-1266-3p,0,NA,NA,NA,NA,NA
hsa-miR-1266-5p,0,NA,NA,NA,NA,NA
hsa-miR-1267,0,NA,NA,NA,NA,NA
hsa-miR-1268a,0,NA,NA,NA,NA,NA
hsa-miR-1268b,0,NA,NA,NA,NA,NA
hsa-miR-1269a,0,NA,NA,NA,NA,NA
hsa-miR-1269b,0,NA,NA,NA,NA,NA
hsa-miR-127-3p,0,NA,NA,NA,NA,NA
hsa-miR-127-5p,0,NA,NA,NA,NA,NA
hsa-miR-1270,0,NA,NA,NA,NA,NA
hsa-miR-1271-3p,0,NA,NA,NA,NA,NA
hsa-miR-1271-5p,0,NA,NA,NA,NA,NA
hsa-miR-1272,0,NA,NA,NA,NA,NA
hsa-miR-1273a,0,NA,NA,NA,NA,NA
hsa-miR-1273c,0,NA,NA,NA,NA,NA
hsa-miR-1273d,0,NA,NA,NA,NA,NA
hsa-miR-1273f,0,NA,NA,NA,NA,NA
hsa-miR-1273g-3p,0,NA,NA,NA,NA,NA
hsa-miR-1273g-5p,0,NA,NA,NA,NA,NA
hsa-miR-1273h-3p,0,NA,NA,NA,NA,NA
hsa-miR-1273h-5p,0,NA,NA,NA,NA,NA
hsa-miR-1275,0,NA,NA,NA,NA,NA
hsa-miR-1276,0,NA,NA,NA,NA,NA
hsa-miR-1277-3p,0,NA,NA,NA,NA,NA
hsa-miR-1277-5p,0,NA,NA,NA,NA,NA
hsa-miR-1278,0,NA,NA,NA,NA,NA
hsa-miR-1279,0,NA,NA,NA,NA,NA
hsa-miR-128-1-5p,0,NA,NA,NA,NA,NA
hsa-miR-128-2-5p,0,NA,NA,NA,NA,NA
hsa-miR-128-3p,0.00366580133557968,-0.351995911873994,2.92222487342324,-0.120454765502577,0.904122910567597,0.999518452987832
hsa-miR-1281,0,NA,NA,NA,NA,NA
hsa-miR-1282,0,NA,NA,NA,NA,NA
hsa-miR-1283,0,NA,NA,NA,NA,NA
hsa-miR-1284,0,NA,NA,NA,NA,NA
hsa-miR-1285-3p,0,NA,NA,NA,NA,NA
hsa-miR-1285-5p,0,NA,NA,NA,NA,NA
hsa-miR-1286,0,NA,NA,NA,NA,NA
hsa-miR-1287-3p,0,NA,NA,NA,NA,NA
hsa-miR-1287-5p,0,NA,NA,NA,NA,NA
hsa-miR-1288-3p,0,NA,NA,NA,NA,NA
hsa-miR-1288-5p,0,NA,NA,NA,NA,NA
hsa-miR-1289,0,NA,NA,NA,NA,NA
hsa-miR-129-1-3p,0,NA,NA,NA,NA,NA
hsa-miR-129-2-3p,0,NA,NA,NA,NA,NA
hsa-miR-129-5p,0,NA,NA,NA,NA,NA
hsa-miR-1290,0,NA,NA,NA,NA,NA
hsa-miR-1291,0,NA,NA,NA,NA,NA
hsa-miR-1292-3p,0,NA,NA,NA,NA,NA
hsa-miR-1292-5p,0,NA,NA,NA,NA,NA
hsa-miR-1293,0,NA,NA,NA,NA,NA
hsa-miR-1294,0.00346075852147105,-0.50184416812069,2.92229501487864,-0.171729467957749,0.863650217879895,0.999518452987832
hsa-miR-1295a,0,NA,NA,NA,NA,NA
hsa-miR-1295b-3p,0,NA,NA,NA,NA,NA
hsa-miR-1295b-5p,0,NA,NA,NA,NA,NA
hsa-miR-1296-3p,0,NA,NA,NA,NA,NA
hsa-miR-1296-5p,0,NA,NA,NA,NA,NA
hsa-miR-1297,0,NA,NA,NA,NA,NA
hsa-miR-1298-3p,0,NA,NA,NA,NA,NA
hsa-miR-1298-5p,0,NA,NA,NA,NA,NA
hsa-miR-1299,0,NA,NA,NA,NA,NA
hsa-miR-1301-3p,0,NA,NA,NA,NA,NA
hsa-miR-1301-5p,0,NA,NA,NA,NA,NA
hsa-miR-1302,0,NA,NA,NA,NA,NA
hsa-miR-1303,0,NA,NA,NA,NA,NA
hsa-miR-1304-3p,0,NA,NA,NA,NA,NA
hsa-miR-1304-5p,0,NA,NA,NA,NA,NA
hsa-miR-1305,0,NA,NA,NA,NA,NA
hsa-miR-1306-3p,0,NA,NA,NA,NA,NA
hsa-miR-1306-5p,0.0498421714555144,-0.361466708365265,2.92185706661145,-0.12371129049939,0.901543871812013,0.999518452987832
hsa-miR-1307-3p,0,NA,NA,NA,NA,NA
hsa-miR-1307-5p,0,NA,NA,NA,NA,NA
hsa-miR-130a-3p,0,NA,NA,NA,NA,NA
hsa-miR-130a-5p,0,NA,NA,NA,NA,NA
hsa-miR-130b-3p,0,NA,NA,NA,NA,NA
hsa-miR-130b-5p,0,NA,NA,NA,NA,NA
hsa-miR-132-3p,0,NA,NA,NA,NA,NA
hsa-miR-132-5p,0,NA,NA,NA,NA,NA
hsa-miR-1321,0,NA,NA,NA,NA,NA
hsa-miR-1322,0,NA,NA,NA,NA,NA
hsa-miR-1323,0,NA,NA,NA,NA,NA
hsa-miR-1324,0,NA,NA,NA,NA,NA
hsa-miR-133a-3p,0,NA,NA,NA,NA,NA
hsa-miR-133a-5p,0,NA,NA,NA,NA,NA
hsa-miR-133b,0,NA,NA,NA,NA,NA
hsa-miR-134-3p,0,NA,NA,NA,NA,NA
hsa-miR-134-5p,0,NA,NA,NA,NA,NA
hsa-miR-1343-3p,0,NA,NA,NA,NA,NA
hsa-miR-1343-5p,0,NA,NA,NA,NA,NA
hsa-miR-135a-3p,0,NA,NA,NA,NA,NA
hsa-miR-135a-5p,0,NA,NA,NA,NA,NA
hsa-miR-135b-3p,0,NA,NA,NA,NA,NA
hsa-miR-135b-5p,0,NA,NA,NA,NA,NA
hsa-miR-136-3p,0,NA,NA,NA,NA,NA
hsa-miR-136-5p,0,NA,NA,NA,NA,NA
hsa-miR-137,0,NA,NA,NA,NA,NA
hsa-miR-138-1-3p,0,NA,NA,NA,NA,NA
hsa-miR-138-2-3p,0,NA,NA,NA,NA,NA
hsa-miR-138-5p,0,NA,NA,NA,NA,NA
hsa-miR-139-3p,0,NA,NA,NA,NA,NA
hsa-miR-139-5p,0,NA,NA,NA,NA,NA
hsa-miR-140-3p,0.340183879180242,0.278051681147249,1.46724733763587,0.189505664120179,0.849696516205685,0.999518452987832
hsa-miR-140-5p,0,NA,NA,NA,NA,NA
hsa-miR-141-3p,0,NA,NA,NA,NA,NA
hsa-miR-141-5p,0,NA,NA,NA,NA,NA
hsa-miR-142-3p,0.261450242128591,0.480550878941301,2.52198717917909,0.190544536827392,0.848882447063637,0.999518452987832
hsa-miR-142-5p,0.104917867576271,-0.184438329502817,2.91960106377491,-0.0631724422186458,0.949629188859924,0.999518452987832
hsa-miR-143-3p,0.0415921717922145,-0.147205521504082,2.92180415587111,-0.0503817208994948,0.959818202494931,0.999518452987832
hsa-miR-143-5p,0,NA,NA,NA,NA,NA
hsa-miR-144-3p,0,NA,NA,NA,NA,NA
hsa-miR-144-5p,0.0068745454471041,-0.196157315016515,2.92194214900012,-0.0671325115330019,0.946476211806554,0.999518452987832
hsa-miR-145-3p,0.0211261396296605,-0.494391013380664,2.9220789258645,-0.169191533125478,0.865645989370777,0.999518452987832
hsa-miR-145-5p,0,NA,NA,NA,NA,NA
hsa-miR-1468-3p,0,NA,NA,NA,NA,NA
hsa-miR-1468-5p,0,NA,NA,NA,NA,NA
hsa-miR-1469,0,NA,NA,NA,NA,NA
hsa-miR-146a-3p,0,NA,NA,NA,NA,NA
hsa-miR-146a-5p,0.132552396300321,-0.0509130355750599,2.91970446212853,-0.0174377359885059,0.986087404760877,0.999518452987832
hsa-miR-146b-3p,0,NA,NA,NA,NA,NA
hsa-miR-146b-5p,0.0364076979590545,-0.427844439401649,2.92223266110669,-0.1464101216498,0.883597637491554,0.999518452987832
hsa-miR-1470,0,NA,NA,NA,NA,NA
hsa-miR-1471,0,NA,NA,NA,NA,NA
hsa-miR-147a,0,NA,NA,NA,NA,NA
hsa-miR-147b,0,NA,NA,NA,NA,NA
hsa-miR-148a-3p,0.294774627598512,0.493976633140243,1.50898146864914,0.327357653757312,0.743397390917783,0.999518452987832
hsa-miR-148a-5p,0,NA,NA,NA,NA,NA
hsa-miR-148b-3p,0.0174339996162309,-0.285788746753689,2.92175589026508,-0.0978140397375089,0.922079958747872,0.999518452987832
hsa-miR-148b-5p,0,NA,NA,NA,NA,NA
hsa-miR-149-3p,0,NA,NA,NA,NA,NA
hsa-miR-149-5p,0,NA,NA,NA,NA,NA
hsa-miR-150-3p,0,NA,NA,NA,NA,NA
hsa-miR-150-5p,0.270554597366094,0.526085144652754,2.15301574576424,0.244348024712664,0.806961292085836,0.999518452987832
hsa-miR-151a-3p,0.0713740237968302,-0.199669209945711,2.92130362373546,-0.0683493520917881,0.945507538663085,0.999518452987832
hsa-miR-151a-5p,0,NA,NA,NA,NA,NA
hsa-miR-151b,0,NA,NA,NA,NA,NA
hsa-miR-152-3p,0.0652039709199804,-0.354789565388404,2.92189787333543,-0.121424355254211,0.903354926900824,0.999518452987832
hsa-miR-152-5p,0,NA,NA,NA,NA,NA
hsa-miR-153-3p,0,NA,NA,NA,NA,NA
hsa-miR-153-5p,0,NA,NA,NA,NA,NA
hsa-miR-1537-3p,0,NA,NA,NA,NA,NA
hsa-miR-1537-5p,0,NA,NA,NA,NA,NA
hsa-miR-1538,0,NA,NA,NA,NA,NA
hsa-miR-1539,0,NA,NA,NA,NA,NA
hsa-miR-154-3p,0,NA,NA,NA,NA,NA
hsa-miR-154-5p,0,NA,NA,NA,NA,NA
hsa-miR-155-3p,0,NA,NA,NA,NA,NA
hsa-miR-155-5p,0.0227322390353895,-0.357988892439709,2.92184343236027,-0.122521586363895,0.902485951334817,0.999518452987832
hsa-miR-1587,0,NA,NA,NA,NA,NA
hsa-miR-15a-3p,0,NA,NA,NA,NA,NA
hsa-miR-15a-5p,0.10202146869041,-0.0244414136488518,2.92055626136922,-0.00836875288866825,0.993322779218048,0.999518452987832
hsa-miR-15b-3p,0.00929735036675347,-0.277820019441184,2.92201861494449,-0.0950781141572095,0.924252781684754,0.999518452987832
hsa-miR-15b-5p,0.0301182208973427,-0.094390544773258,2.9211134190158,-0.0323132077511255,0.974222276443372,0.999518452987832
hsa-miR-16-1-3p,0,NA,NA,NA,NA,NA
hsa-miR-16-2-3p,0,NA,NA,NA,NA,NA
hsa-miR-16-5p,117.301102837224,-0.195050134459951,0.117086176095387,-1.66586817474549,0.0957396736682498,0.999518452987832
hsa-miR-17-3p,0,NA,NA,NA,NA,NA
hsa-miR-17-5p,0.0161071932024659,-0.531388312110894,2.9219169187589,-0.181862909482247,0.855690312978197,0.999518452987832
hsa-miR-181a-2-3p,0,NA,NA,NA,NA,NA
hsa-miR-181a-3p,0,NA,NA,NA,NA,NA
hsa-miR-181a-5p,0.038100265083589,0.139608745686785,2.92074819366776,0.047798966713207,0.961876460060185,0.999518452987832
hsa-miR-181b-3p,0,NA,NA,NA,NA,NA
hsa-miR-181b-5p,0.0216407551149704,-0.138642211700357,2.92152377706894,-0.0474554452674871,0.962150239826261,0.999518452987832
hsa-miR-181c-3p,0,NA,NA,NA,NA,NA
hsa-miR-181c-5p,0,NA,NA,NA,NA,NA
hsa-miR-181d-3p,0,NA,NA,NA,NA,NA
hsa-miR-181d-5p,0,NA,NA,NA,NA,NA
hsa-miR-182-3p,0,NA,NA,NA,NA,NA
hsa-miR-182-5p,0.167690436348853,0.354265493270374,2.91895199898258,0.121367358351167,0.903400069985462,0.999518452987832
hsa-miR-1825,0,NA,NA,NA,NA,NA
hsa-miR-1827,0,NA,NA,NA,NA,NA
hsa-miR-183-3p,0,NA,NA,NA,NA,NA
hsa-miR-183-5p,0.0641511527604952,-0.204311295552773,2.92142511468855,-0.0699354895408828,0.944245005702395,0.999518452987832
hsa-miR-184,0.00773765857016367,-0.449213779306339,2.92198962719958,-0.153735583153614,0.877818226990073,0.999518452987832
hsa-miR-185-3p,0,NA,NA,NA,NA,NA
hsa-miR-185-5p,0.1820412702126,0.546349574009295,2.9177067161273,0.187253081671783,0.851462207641946,0.999518452987832
hsa-miR-186-3p,0,NA,NA,NA,NA,NA
hsa-miR-186-5p,0.00185941707156199,-0.343312794977585,2.92230536469243,-0.117480123441418,0.906479594160861,0.999518452987832
hsa-miR-187-3p,0,NA,NA,NA,NA,NA
hsa-miR-187-5p,0,NA,NA,NA,NA,NA
hsa-miR-188-3p,0,NA,NA,NA,NA,NA
hsa-miR-188-5p,0,NA,NA,NA,NA,NA
hsa-miR-18a-3p,0,NA,NA,NA,NA,NA
hsa-miR-18a-5p,0,NA,NA,NA,NA,NA
hsa-miR-18b-3p,0,NA,NA,NA,NA,NA
hsa-miR-18b-5p,0,NA,NA,NA,NA,NA
hsa-miR-1908-3p,0,NA,NA,NA,NA,NA
hsa-miR-1908-5p,0,NA,NA,NA,NA,NA
hsa-miR-1909-3p,0,NA,NA,NA,NA,NA
hsa-miR-1909-5p,0,NA,NA,NA,NA,NA
hsa-miR-190a-3p,0,NA,NA,NA,NA,NA
hsa-miR-190a-5p,0,NA,NA,NA,NA,NA
hsa-miR-190b,0.0075566043153438,-0.498072716199849,2.9222378946739,-0.170442220706138,0.864662370552885,0.999518452987832
hsa-miR-191-3p,0,NA,NA,NA,NA,NA
hsa-miR-191-5p,0.149388358288752,0.717584025654023,2.91812112651774,0.245906182280491,0.805754857989379,0.999518452987832
hsa-miR-1910-3p,0,NA,NA,NA,NA,NA
hsa-miR-1910-5p,0,NA,NA,NA,NA,NA
hsa-miR-1911-3p,0,NA,NA,NA,NA,NA
hsa-miR-1911-5p,0,NA,NA,NA,NA,NA
hsa-miR-1912,0,NA,NA,NA,NA,NA
hsa-miR-1913,0,NA,NA,NA,NA,NA
hsa-miR-1914-3p,0,NA,NA,NA,NA,NA
hsa-miR-1914-5p,0,NA,NA,NA,NA,NA
hsa-miR-1915-3p,0,NA,NA,NA,NA,NA
hsa-miR-1915-5p,0,NA,NA,NA,NA,NA
hsa-miR-192-3p,0,NA,NA,NA,NA,NA
hsa-miR-192-5p,0.0319965332261242,-0.125309130523979,2.92136864168074,-0.0428939808335471,0.965786046935275,0.999518452987832
hsa-miR-193a-3p,0,NA,NA,NA,NA,NA
hsa-miR-193a-5p,0.00840122237042501,-0.435164024889367,2.92217761060272,-0.148917719207222,0.881618559212452,0.999518452987832
hsa-miR-193b-3p,0,NA,NA,NA,NA,NA
hsa-miR-193b-5p,0.00456072017177229,-0.348020269397867,2.92226119916006,-0.119092800293792,0.905201834682635,0.999518452987832
hsa-miR-194-3p,0,NA,NA,NA,NA,NA
hsa-miR-194-5p,0.0592118236298611,-0.0740763753651843,2.91992206876147,-0.0253692987760475,0.979760399250442,0.999518452987832
hsa-miR-195-3p,0,NA,NA,NA,NA,NA
hsa-miR-195-5p,0.0841596956079624,-0.392459897256494,2.92176379298913,-0.134322938150652,0.893147215584269,0.999518452987832
hsa-miR-196a-3p,0,NA,NA,NA,NA,NA
hsa-miR-196a-5p,0.0104348177803673,-0.376845887422732,2.92206369908035,-0.128965664759921,0.897384817448067,0.999518452987832
hsa-miR-196b-3p,0,NA,NA,NA,NA,NA
hsa-miR-196b-5p,0.0215085741200956,-0.246490432641226,2.92177608458921,-0.0843632179554517,0.932767650816842,0.999518452987832
hsa-miR-197-3p,0.0360868937031155,-0.0156134073126111,2.92105168013563,-0.00534513217235725,0.995735221871998,0.999518452987832
hsa-miR-197-5p,0,NA,NA,NA,NA,NA
hsa-miR-1972,0,NA,NA,NA,NA,NA
hsa-miR-1973,0,NA,NA,NA,NA,NA
hsa-miR-1976,0.00645990232305829,-0.343377978933174,2.92230839844301,-0.117502307119989,0.906462015892735,0.999518452987832
hsa-miR-198,0,NA,NA,NA,NA,NA
hsa-miR-199a-3p,0.167888192321773,-0.25977825665742,2.9206289226374,-0.0889459988031734,0.929124826637956,0.999518452987832
hsa-miR-199a-5p,0,NA,NA,NA,NA,NA
hsa-miR-199b-3p,0.0274490143485041,-0.224225929527858,2.92154585870027,-0.0767490706538529,0.938823166895134,0.999518452987832
hsa-miR-199b-5p,0,NA,NA,NA,NA,NA
hsa-miR-19a-3p,0,NA,NA,NA,NA,NA
hsa-miR-19a-5p,0,NA,NA,NA,NA,NA
hsa-miR-19b-1-5p,0,NA,NA,NA,NA,NA
hsa-miR-19b-2-5p,0,NA,NA,NA,NA,NA
hsa-miR-19b-3p,0.0626508491145883,0.0644994797990315,2.92093095808635,0.0220818227902547,0.982382686253522,0.999518452987832
hsa-miR-200a-3p,0,NA,NA,NA,NA,NA
hsa-miR-200a-5p,0,NA,NA,NA,NA,NA
hsa-miR-200b-3p,0,NA,NA,NA,NA,NA
hsa-miR-200b-5p,0,NA,NA,NA,NA,NA
hsa-miR-200c-3p,0,NA,NA,NA,NA,NA
hsa-miR-200c-5p,0,NA,NA,NA,NA,NA
hsa-miR-202-3p,0,NA,NA,NA,NA,NA
hsa-miR-202-5p,0,NA,NA,NA,NA,NA
hsa-miR-203a,0,NA,NA,NA,NA,NA
hsa-miR-203b-3p,0,NA,NA,NA,NA,NA
hsa-miR-203b-5p,0,NA,NA,NA,NA,NA
hsa-miR-204-3p,0,NA,NA,NA,NA,NA
hsa-miR-204-5p,0,NA,NA,NA,NA,NA
hsa-miR-205-3p,0,NA,NA,NA,NA,NA
hsa-miR-205-5p,0,NA,NA,NA,NA,NA
hsa-miR-2052,0,NA,NA,NA,NA,NA
hsa-miR-2053,0,NA,NA,NA,NA,NA
hsa-miR-2054,0,NA,NA,NA,NA,NA
hsa-miR-206,0.025401883182316,-0.426399633064733,2.92229776405853,-0.145912452286362,0.883990501298281,0.999518452987832
hsa-miR-208a-3p,0,NA,NA,NA,NA,NA
hsa-miR-208a-5p,0,NA,NA,NA,NA,NA
hsa-miR-208b-3p,0,NA,NA,NA,NA,NA
hsa-miR-208b-5p,0,NA,NA,NA,NA,NA
hsa-miR-20a-3p,0,NA,NA,NA,NA,NA
hsa-miR-20a-5p,0.0497535433420953,-0.237119130501872,2.92057751728009,-0.0811891241026531,0.935291548671211,0.999518452987832
hsa-miR-20b-3p,0,NA,NA,NA,NA,NA
hsa-miR-20b-5p,0.00366580133557968,-0.351995911873994,2.92222487342324,-0.120454765502577,0.904122910567597,0.999518452987832
hsa-miR-21-3p,0,NA,NA,NA,NA,NA
hsa-miR-21-5p,1.83602348650955,0.33337529229667,0.453214613459503,0.73557930921938,0.461986758229363,0.999518452987832
hsa-miR-210-3p,0,NA,NA,NA,NA,NA
hsa-miR-210-5p,0,NA,NA,NA,NA,NA
hsa-miR-211-3p,0,NA,NA,NA,NA,NA
hsa-miR-211-5p,0,NA,NA,NA,NA,NA
hsa-miR-2110,0,NA,NA,NA,NA,NA
hsa-miR-2113,0,NA,NA,NA,NA,NA
hsa-miR-2114-3p,0,NA,NA,NA,NA,NA
hsa-miR-2114-5p,0,NA,NA,NA,NA,NA
